vendor_name,vendor_type,contract_value,data_encryption_at_rest,data_encryption_in_transit,mfa_enforced,rbac_implemented,vulnerability_scanning,patch_management,incident_response_plan,security_team_dedicated,soc2_certified,iso27001_certified,pci_compliant,gdpr_compliant,hipaa_compliant,regular_audits,penetration_testing,data_retention_policy,data_deletion_procedures,data_portability,cross_border_safeguards,privacy_impact_assessments,data_subject_rights,uptime_sla,redundant_systems,geographic_distribution,backup_procedures,disaster_recovery_plan,vendor_stability,background_checks,security_training,physical_security,secure_disposal,insider_threat_monitoring,comprehensive_sla,dpa_executed,liability_clauses,termination_procedures,legal_jurisdiction,ip_protection,industry,years_in_business,employee_count,data_center_locations
Microsoft Azure,Cloud Infrastructure,500000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,25,220000,"US, EU, Asia"
Amazon Web Services,Cloud Infrastructure,750000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,yes,99.99,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,17,1600000,"Global"
Salesforce,CRM Platform,120000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,Technology,24,79000,"US, EU, Asia"
Slack Technologies,Communication,45000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.99,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,11,2500,"US, EU"
Zoom Video,Video Conferencing,35000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,partial,yes,yes,yes,yes,yes,yes,yes,yes,99.99,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,12,8000,"Global"
ServiceNow,IT Service Management,200000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,20,17000,"US, EU, Asia"
Okta,Identity Management,80000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.99,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,13,5000,"US, EU, Asia"
Atlassian,Collaboration Software,65000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,Technology,22,10000,"US, EU, Asia"
DocuSign,Digital Transaction,25000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,20,7000,"US, EU, Asia"
Dropbox Business,File Storage,30000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,Technology,16,3000,"US, EU"
HubSpot,Marketing Platform,85000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,17,5000,"US, EU, Asia"
Workday,HR Management,180000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,18,17500,"US, EU, Asia"
Tableau,Business Intelligence,95000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,21,5000,"US, EU, Asia"
Splunk,Security Analytics,150000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,22,7500,"US, EU, Asia"
Snowflake,Data Warehouse,220000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,partial,yes,yes,yes,yes,yes,yes,yes,yes,99.99,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,11,6000,"US, EU, Asia"
Twilio,Communications API,40000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,Technology,14,10000,"Global"
Stripe,Payment Processing,60000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.99,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Financial Services,13,4000,"US, EU, Asia"
Zendesk,Customer Support,55000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,16,6000,"US, EU, Asia"
MongoDB Atlas,Database Service,75000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,15,4500,"Global"
GitHub,Code Repository,48000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,Technology,15,3000,"US, EU, Asia"
Datadog,Monitoring Platform,70000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,13,4000,"US, EU, Asia"
PagerDuty,Incident Management,35000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.99,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,13,900,"US, EU"
New Relic,Application Monitoring,65000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,Technology,16,4500,"US, EU, Asia"
Akamai Technologies,CDN Security,120000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.99,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,25,9000,"Global"
CloudFlare,Web Security,45000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.99,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,13,3500,"Global"
Box,Content Management,42000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,partial,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,19,2500,"US, EU, Asia"
Adobe Creative Cloud,Design Software,95000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,Technology,42,26000,"Global"
CyberArk,Privileged Access,180000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,24,7000,"US, EU, Asia"
Rapid7,Security Platform,95000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,22,2500,"US, EU"
Qualys,Vulnerability Management,110000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,23,1500,"US, EU, Asia"
SumoLogic,Log Management,85000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,Technology,14,2500,"US, EU, Asia"
Proofpoint,Email Security,75000,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.95,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,25,4000,"US, EU, Asia"
Mimecast,Email Security,68000,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,99.9,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Technology,23,2000,"US, EU, Asia"
TechSmith,Screen Recording,15000,yes,yes,partial,yes,partial,yes,yes,partial,no,no,no,partial,no,partial,partial,yes,yes,partial,partial,partial,partial,99.5,partial,partial,yes,partial,yes,yes,partial,yes,partial,partial,yes,partial,partial,yes,partial,partial,Technology,32,350,"US"
Smaller Vendor Co,Custom Software,8000,partial,partial,no,partial,no,partial,partial,no,no,no,no,no,no,no,partial,partial,partial,no,no,partial,no,99.0,no,no,partial,no,partial,partial,no,partial,no,no,partial,no,partial,partial,no,no,Technology,3,25,"US"